Model,MAE,RMSE,sMAPE(%)
SES,1104.4285758925334,1636.898684603429,115.63785877680554
Prophet,1145.4633868131089,1681.503386505072,157.80920184763758
MA(7),1154.9387755102039,1701.8651353075866,128.667084063226
